name,country,state,address,latitude,longitude,content
中尊寺,日本,岩手県,〒029-4102 岩手県西磐井郡平泉町平泉衣関２０２,39.0017,141.103,
勝常寺,日本,福島県,〒969-3556 福島県河沼郡湯川村勝常代舞１７６４,37.5635,139.87,
大倉集古館,日本,東京都,〒105-0001 東京都港区虎ノ門２丁目１０−３,35.667,139.743,
深大寺,日本,東京都,〒182-0017 東京都調布市深大寺元町５丁目１５−１,35.6675,139.55,
高徳院,日本,神奈川県,〒248-0016 神奈川県鎌倉市長谷４丁目２−２８,35.3167,139.536,
願成就院,日本,静岡県,〒410-2122 静岡県伊豆の国市寺家８３−１,35.0457,138.94,
園城寺,日本,滋賀県,〒520-0036 滋賀県大津市園城寺町２４６,35.0134,135.853,
向源寺,日本,滋賀県,〒529-0233 滋賀県長浜市高月町渡岸寺５０,35.4759,136.239,
東寺,日本,京都府,〒601-8473 京都府京都市南区九条町１,34.9806,135.748,
六波羅蜜寺,日本,京都府,〒605-0933 京都府京都市東山区 大和大路上ル東,34.9971,135.773,
三十三間堂,日本,京都府,〒605-0941 京都府京都市東山区三十三間堂廻り６５７,34.9879,135.772,
法性寺,日本,京都府,〒605-0981 京都府京都市東山区本町１６−３０７,34.9791,135.771,
醍醐寺,日本,京都府,〒601-1325 京都府京都市伏見区醍醐東大路町２２,34.951,135.82,
広隆寺,日本,京都府,〒616-8162 京都府京都市右京区太秦蜂岡町３２,35.0147,135.707,
神護寺,日本,京都府,〒616-8292 京都府京都市右京区梅ケ畑高雄町５,35.055,135.671,
鞍馬寺,日本,京都府,〒601-1111 京都府京都市左京区鞍馬本町1074番地,35.1179,135.771,
仁和寺,日本,京都府,〒616-8092 京都府京都市右京区御室大内３３,35.0311,135.714,
清凉寺,日本,京都府,〒616-8447 京都府京都市右京区嵯峨釈迦堂藤ノ木町４６,35.0236,135.674,
三千院,日本,京都府,〒601-1242 京都府京都市左京区大原来迎院町５４０,35.1197,135.834,
法界寺,日本,京都府,〒601-1417 京都府京都市伏見区日野西大道町１９,34.9342,135.815,
宝菩提院願徳寺,日本,京都府,〒610-1153 京都府京都市西京区大原野南春日町１２２３−２,34.961,135.652,
大御堂観音寺,日本,京都府,〒610-0322 京都府京田辺市普賢寺下大門１３,34.7958,135.762,
平等院,日本,京都府,〒611-0021 京都府宇治市宇治蓮華１１６,34.8893,135.808,
蟹満寺,日本,京都府,〒619-0201 京都府木津川市山城町綺田浜３６,34.7864,135.816,
浄瑠璃寺,日本,京都府,〒619-1135 京都府木津川市加茂町西小礼場40,34.7155,135.873,
安祥寺,日本,京都府,〒607-8406 京都府京都市山科区御陵平林町２２,34.9957,135.816,
東大寺,日本,奈良県,〒630-8211 奈良県奈良市雑司町４０６−１,34.689,135.84,
興福寺,日本,奈良県,〒630-8213 奈良県奈良市登大路町４８,34.6829,135.832,
元興寺,日本,奈良県,〒630-8392 奈良県奈良市中院町１１番地,34.6778,135.831,
唐招提寺,日本,奈良県,〒630-8032 奈良県奈良市五条町１３−４６,34.6756,135.785,
薬師寺,日本,奈良県,〒630-8563 奈良県奈良市西ノ京町４５７,34.6686,135.785,
新薬師寺,日本,奈良県,〒630-8301 奈良県奈良市高畑町１３５２,34.6759,135.846,
法華寺,日本,奈良県,〒630-8001 奈良県奈良市法華寺町８８２,34.6925,135.804,
西大寺,日本,奈良県,〒631-0825 奈良県奈良市西大寺芝町１丁目１−５,34.6936,135.779,
なら仏像館,日本,奈良県,〒630-8213 奈良県奈良市登大路町,34.6837,135.837,
円成寺,日本,奈良県,〒630-1244 奈良県奈良市忍辱山町１２７３,34.6956,135.915,
法隆寺,日本,奈良県,〒636-0115 奈良県生駒郡斑鳩町法隆寺山内１−１−１,34.6141,135.736,
中宮寺,日本,奈良県,〒636-0111 奈良県生駒郡斑鳩町法隆寺北１丁目１−２,34.6145,135.74,
聖林寺,日本,奈良県,〒633-0042 奈良県桜井市下６９２,34.4917,135.852,
安倍文殊院,日本,奈良県,〒633-0054 奈良県桜井市阿部６４５,34.5037,135.842,
室生寺,日本,奈良県,〒633-0421 奈良県宇陀市室生７８,34.5379,136.041,
岡寺,日本,奈良県,〒634-0111 奈良県高市郡明日香村岡８０６,34.4718,135.828,
当麻寺,日本,奈良県,〒639-0276 奈良県葛城市當麻１２６３,34.5161,135.695,
吉野水分神社,日本,奈良県,〒639-3115 奈良県吉野郡吉野町吉野山１６１２,34.3538,135.873,
観心寺,日本,大阪府,〒586-0053 大阪府河内長野市寺元４７５,34.4374,135.599,
道明寺,日本,大阪府,〒583-0012 大阪府藤井寺市道明寺１丁目１４−３１,34.5689,135.616,
葛井寺,日本,大阪府,〒583-0024 大阪府藤井寺市藤井寺１丁目１６−２１,34.5702,135.597,
獅子窟寺,日本,大阪府,〒576-0004 大阪府交野市私市２３８７,34.7688,135.696,
天野山金剛寺,日本,大阪府,〒586-0086 大阪府河内長野市天野町９９６,34.4285,135.53,
浄土寺,日本,兵庫県,〒675-1317 兵庫県小野市浄谷町２０９４,34.8642,134.961,
慈尊院,日本,和歌山県,〒648-0151 和歌山県伊都郡九度山町慈尊院８３２,34.2952,135.55,
金剛峯寺,日本,和歌山県,〒648-0294 和歌山県伊都郡高野町高野山１３２,34.2141,135.584,
道成寺,日本,和歌山県,〒649-1331 和歌山県日高郡日高川町鐘巻１７３８,33.9145,135.175,
熊野速玉大社,日本,和歌山県,〒647-0081 和歌山県新宮市新宮1番地,33.7322,135.984,
臼杵磨崖仏群,日本,大分県,〒875-0064 大分県臼杵市深田８０４−１,33.0898,131.763,