name,ruby,grade,content
釈迦如来,しゃかにょらい,如来,
阿弥陀如来,あみだにょらい,如来,
薬師如来,やくしにょらい,如来,
毘盧遮那如来,びるしゃなにょらい,如来,
大日如来,だいにちにょらい,如来,
阿閦如来,あしゅくにょらい,如来,
宝生如来,ほうしょうにょらい,如来,
不空成就如来,ふくうじょうじゅにょらい,如来,
地蔵菩薩,じぞうぼさつ,菩薩,
観音菩薩,かんのんぼさつ,菩薩,
勢至菩薩,せいしぼさつ,菩薩,
日光菩薩,にっこうぼさつ,菩薩,
月光菩薩,がっこうぼさつ,菩薩,
普賢菩薩,ふげんぼさつ,菩薩,
弥勒菩薩,みろくぼさつ,菩薩,
虚空蔵菩薩,こくうぞうぼさつ,菩薩,
十一面観音,じゅういちめんかんのん,菩薩,
千手観音,せんじゅかんのん,菩薩,
不空羂索観音,ふくうけんさくかんのん,菩薩,
如意輪観音,にょいりんかんのん,菩薩,
雲中供養菩薩,うんちゅうくようぼさつ,菩薩,
文殊菩薩,もんじゅぼさつ,菩薩,
薬王菩薩,やくおうぼさつ,菩薩,
薬上菩薩,やくじょうぼさつ,菩薩,
金剛薩埵菩薩,こんごうさったぼさつ,菩薩,
金剛宝菩薩,こんごうほうぼさつ,菩薩,
金剛法菩薩,こんごうほうぼさつ,菩薩,
金剛業菩薩,こんごうぎょうぼさつ,菩薩,
無著菩薩,むじゃくぼさつ,菩薩,
世親菩薩,せしんぼさつ,菩薩,
不動明王,ふどうみょうおう,明王,
降三世明王,ごうざんぜみょうおう,明王,
大威徳明王,だいいいとくみょうおう,明王,
金剛夜叉明王,こんごうやしゃみょうおう,明王,
軍荼利明王,ぐんだりみょうおう,明王,
持国天,じこくてん,天部,
増長天,ぞうちょうてん,天部,
毘沙門天,びしゃもんてん,天部,
広目天,こうもくてん,天部,
多聞天,たもんてん,天部,
梵天,ぼんてん,天部,
帝釈天,たいしゃくてん,天部,
吉祥天,きっしょうてん,天部,
十二神将,じゅうにしんしょう,その他,
二十八部衆,にじゅうはちぶしゅう,その他,
八部衆,はちぶしゅう,その他,
智証大師,ちしょうだいし,その他,
新羅明神,しんらみょうじん,その他,
弘法大師,こうぼうだいし,その他,
僧形八幡神,そうぎょうはちまんしん,その他,
女神,じょしん,その他,
風神,ふうじん,その他,
雷神,らいじん,その他,
善膩師童子,ぜんにしどうじ,その他,
執金剛神,しゅこんごうじん,その他,
維摩居士,ゆいまこじ,その他,
天燈鬼,てんとうき,その他,
竜燈鬼,りゅうとうき,その他,
法相六祖,ほっそうろくそ,その他,
鑑真,がんじん,その他,
神功皇后,じんぐうこうごう,その他,
仲津姫命,なかつひめのみこと,その他,
叡尊,えいそん,その他,
行信,ぎょうしん,その他,
道詮,どうせん,その他,
聖徳太子,しょうとくたいし,その他,
山背王,やましろおう,その他,
殖栗王,えぐりおう,その他,
卒末呂王,そまろおう,その他,
恵慈法師,えじほうし,その他,
善財童子,ぜんざいどうじ,その他,
優填王,うてんおう,その他,
義淵僧正,ぎえんそうじょう,その他,
玉依姫命,たまよりびめ,その他,
八大童子,はちだいどうじ,その他,
速玉大神,はやたまのおおかみ,その他,
夫須美大神,ふすみおおかみ,その他,
家津御子大神,けつみこ,その他,
国常立命,くにとこたちのみこと,その他,
臼杵磨崖仏,うすきねまがいぶつ,その他,
須菩堤,しゅぼだい,その他,
十大弟子,じゅうだいでし,その他,